suspect_id,name,occupation,nationality,age,height_cm,weight_kg,total_spent,num_transactions
44,Alexander Taylor,Public house manager,Puerto Rico,24.0,153,80.0,4030.15,32
45,Frances Buckley-Ryan,Corporate treasurer,Estonia,38.0,165,55.0,12886.119999999999,32
46,Ms Kayleigh Watson,"Psychotherapist, child",New Zealand,26.0,173,51.0,5658.83,49
47,David Anderson,"Production assistant, radio",Liberia,56.0,165,69.0,8522.960000000001,54
48,John Griffiths,Warden/ranger,Congo,35.0,151,77.0,36316.299999999996,52
49,Miss Alice Tomlinson,"Accountant, chartered public finance",Egypt,21.0,198,60.0,4941.87,37
50,Simon Cunningham,Cartographer,Fiji,42.0,177,53.0,20385.85,40
51,Joshua Stewart,Advertising account executive,Moldova,31.0,181,64.0,8229.11,57
52,Philip Clarke,Furniture conservator/restorer,French Southern Territories,67.0,176,55.0,52331.52,22
53,Henry O'Brien,"Engineer, structural",Czech Republic,26.0,169,98.0,14786.49,61
54,Leon Davison,Dealer,Western Sahara,43.0,173,79.0,6432.57,50
55,Kayleigh Mitchell,Sports therapist,French Southern Territories,19.0,161,87.0,3934.02,30
56,Oliver Edwards-Matthews,Transport planner,Sierra Leone,37.0,199,51.0,2499.07,17
57,Victor Patel,"Secretary, company",France,45.0,184,64.0,6264.74,52
58,Eric O'Neill,Pharmacologist,Romania,64.0,182,60.0,18930.170000000002,59
59,Charlotte Haynes,Clinical psychologist,Cote d'Ivoire,24.0,182,57.0,2791.51,20
60,Martyn Wilson,Homeopath,Portugal,61.0,192,75.0,3500.32,26
61,Sarah Hammond,Field seismologist,Romania,25.0,186,94.0,4877.3,40
62,Robert Wilson,Illustrator,Liechtenstein,64.0,161,93.0,2505.64,23
63,Maria Bruce,Community development worker,Ghana,52.0,152,54.0,2966.16,26
64,Olivia King,Art gallery manager,Lesotho,31.0,150,55.0,12380.23,21
65,Kayleigh Daniels,Field trials officer,Guernsey,34.0,182,75.0,6233.09,49
66,Gerard Jones,Personnel officer,Monaco,53.0,189,53.0,6592.36,46
67,Dr Dennis Bates,Writer,Vietnam,67.0,159,68.0,3868.08,31
68,Lydia Williams,"Programmer, systems",Vietnam,57.0,192,69.0,6702.3,58
69,Dr Joan Taylor,Biomedical scientist,South Africa,21.0,193,82.0,2325.49,20
70,Hazel Lambert,Clinical psychologist,Saint Helena,19.0,178,69.0,5907.07,47
71,Adam Long,Restaurant manager,Falkland Islands (Malvinas),23.0,162,98.0,8486.07,57
72,Leslie Roberts-Griffiths,"Therapist, speech and language",France,59.0,161,61.0,21859.079999999998,55
73,Barbara Wilkinson,Social worker,British Virgin Islands,21.0,180,96.0,6381.19,57
74,Kirsty Akhtar,"Administrator, sports",Montserrat,46.0,195,50.0,2205.06,16
75,Harry Gardiner,"Scientist, biomedical",Philippines,35.0,151,75.0,6338.96,50
76,Melissa Mann,"Teacher, special educational needs",Mayotte,43.0,199,63.0,6566.14,59
77,Mr Peter Riley,Financial controller,Hong Kong,61.0,184,87.0,3741.19,32
78,Thomas Morgan,Cytogeneticist,Ukraine,51.0,172,86.0,4607.59,38
79,Mr Jake Stevenson,"Horticulturist, amenity",Indonesia,27.0,166,60.0,2840.93,22
80,Kenneth Taylor,"Pilot, airline",Svalbard & Jan Mayen Islands,53.0,175,85.0,46148.54,30
81,Jennifer Lamb,Accommodation manager,Guatemala,31.0,157,62.0,6603.57,55
82,Miss Carole Hussain,Volunteer coordinator,Zimbabwe,48.0,178,92.0,22158.100000000002,48
83,Ricky Adams-Jones,Manufacturing engineer,Sierra Leone,65.0,175,52.0,7625.31,53
84,Stephanie Lloyd,Financial adviser,Spain,32.0,159,82.0,22046.71,44
85,Leah Newman,"Teacher, English as a foreign language",Cameroon,25.0,175,55.0,2828.1,20
86,Sally George,Pension scheme manager,French Guiana,31.0,183,99.0,5635.52,44
87,Shane Kerr,"Embryologist, clinical",Armenia,40.0,190,59.0,3718.75,36
88,Mr Matthew Hunt,Chartered certified accountant,France,57.0,156,54.0,6332.46,50
89,Lucy Rees,"Scientist, research (physical sciences)",Zimbabwe,38.0,153,72.0,2510.05,26
90,Hazel Taylor,Media planner,Rwanda,33.0,199,59.0,2678.78,22
91,Mrs Ruth Smith,Broadcast journalist,Belgium,62.0,194,93.0,6394.77,49
92,Michael Bibi,Secondary school teacher,Guatemala,35.0,160,51.0,4687.66,37
93,Miss Danielle Martin,Sport and exercise psychologist,Uzbekistan,64.0,178,62.0,4741.57,39
94,Charles Smith-Byrne,"Runner, broadcasting/film/video",Kenya,41.0,185,89.0,5116.35,38
95,Brandon Hodgson,"Runner, broadcasting/film/video",Palau,43.0,174,51.0,1982.66,16
96,Mrs Rebecca Hale,"Surveyor, building",Equatorial Guinea,42.0,170,69.0,1872.07,16
97,Adam Ford,Advertising account planner,San Marino,62.0,185,50.0,3206.22,27
98,Tina Pritchard,Newspaper journalist,Lesotho,58.0,159,86.0,2382.14,19
99,Mrs Lesley Charlton,"Psychotherapist, dance movement",Croatia,46.0,186,58.0,33454.49,17
100,Beverley Lee,Armed forces logistics/support/administrative officer,Cook Islands,32.0,158,66.0,3856.74,33
101,Derek Talbot-Scott,Naval architect,Sweden,62.0,173,58.0,3889.46,32
102,Arthur Bailey,Midwife,Mauritania,18.0,184,60.0,20044.8,49
103,Dr Mohamed Webb,Forensic scientist,Faroe Islands,42.0,198,64.0,5605.47,52
104,Holly Clark,"Administrator, sports",Venezuela,24.0,184,73.0,4742.08,43
105,Julia Bryan,Marketing executive,Monaco,26.0,197,87.0,2591.84,23
106,Sylvia Kelly-Ward,Broadcast journalist,Qatar,41.0,185,84.0,4478.4800000000005,29
107,Elliott Davis,Location manager,Faroe Islands,18.0,167,79.0,7052.2,53
108,Duncan Smith,Financial adviser,Burundi,61.0,198,80.0,28146.280000000002,36
109,Mr Jordan Thomson,Civil Service administrator,Botswana,25.0,188,98.0,7450.8,53
110,Dr Daniel Harper,Television camera operator,Nicaragua,41.0,181,54.0,6758.53,51
111,Mr Stanley Robinson,Learning mentor,Saint Vincent and the Grenadines,28.0,173,93.0,14342.59,46
112,Melissa Fisher,Contracting civil engineer,Namibia,68.0,172,99.0,15184.460000000001,49
113,Mrs Victoria Tucker,Armed forces operational officer,Dominican Republic,34.0,181,63.0,17515.45,61
114,Keith Kaur-Lee,Management consultant,Ecuador,25.0,186,60.0,4144.0,39
115,Martyn Kennedy,Sports coach,Australia,52.0,161,58.0,42840.33,21
116,Nicola Brookes,Lexicographer,Paraguay,52.0,198,83.0,7077.1,49
117,Mr Antony Kelly,Economist,United Kingdom,50.0,162,61.0,20361.09,26
118,Charlene Webb,"Psychologist, forensic",Marshall Islands,22.0,172,84.0,3414.89,25
119,Dr Dylan Morris,Quality manager,Czech Republic,59.0,174,84.0,3742.94,30
120,Amanda Simpson,"Education officer, environmental",Northern Mariana Islands,56.0,184,50.0,33543.01,27
121,Mr Russell Jennings,Control and instrumentation engineer,Djibouti,58.0,190,89.0,7820.18,57
122,Mohammed Gill-Ali,Biomedical scientist,Austria,45.0,179,71.0,2048.11,20
123,Harry Phillips,"Programmer, systems",Bolivia,,166,78.0,2476.39,25
124,Mr Karl Carr,Animator,Isle of Man,26.0,198,57.0,4567.63,34
125,Dr Jamie Ryan,Hospital doctor,Greenland,25.0,169,60.0,4564.74,29
126,Clive Rogers,"Engineer, drilling",Saint Barthelemy,29.0,197,90.0,41893.39,49
127,Mr Nathan Brown,Armed forces logistics/support/administrative officer,Latvia,51.0,174,86.0,5237.04,40
128,Suzanne Mills,"Engineer, communications",Bolivia,50.0,171,63.0,4161.3,35
129,Mr Bradley Parsons,Architectural technologist,Pitcairn Islands,65.0,162,79.0,6957.95,57
130,Marc Davies,Interpreter,Sierra Leone,40.0,168,84.0,5426.61,43
131,Dr Stephen Clark,Insurance claims handler,Burundi,41.0,198,70.0,5883.57,41
132,Louise Jackson-Robinson,"Scientist, biomedical",Albania,54.0,185,86.0,4820.96,37
133,Michelle Anderson,Occupational therapist,Mexico,52.0,1.61,54.0,5163.55,45
134,Miss Marion Butler,Speech and language therapist,Vanuatu,61.0,190,68.0,5740.37,46
135,Kevin Cooper,Public librarian,Cayman Islands,57.0,168,63.0,7131.4,54
136,Neil Smith,Forensic scientist,Ireland,39.0,161,75.0,13237.74,19
137,Charlie Winter-Bennett,Animator,Palau,44.0,158,53.0,32067.06,28
138,Glenn Peters,"Engineer, aeronautical",Vietnam,52.0,156,74.0,7834.7,60
139,Albert Chapman-Williams,Higher education lecturer,Turkmenistan,18.0,177,94.0,2651.1,22
140,Roger Johnson,Marketing executive,Turkey,52.0,163,91.0,2444.31,18
141,Benjamin Peters,Art gallery manager,Lebanon,54.0,180,74.0,9199.13,24
142,Tina Gordon-Miles,Learning disability nurse,Lesotho,64.0,168,67.0,5318.42,46
143,Miss Julia Clarke,Government social research officer,Pakistan,31.0,196,89.0,18541.88,40
144,Dr Annette Morris,Company secretary,Cook Islands,20.0,165,57.0,4434.39,40
145,Cheryl Pearce,Mental health nurse,Saudi Arabia,18.0,154,88.0,3860.66,27
146,Mrs Kathleen Hussain,Press sub,France,22.0,184,89.0,6734.59,45
147,Miss Joan Williams,Office manager,Gibraltar,43.0,161,63.0,1822.6399999999999,17
148,Kenneth Lewis,Printmaker,France,31.0,174,81.0,5839.73,48
149,Mr Hugh Cunningham,Nature conservation officer,Oman,56.0,170,87.0,14844.49,41
150,Mohamed Parkinson,"Librarian, academic",Bahamas,44.0,185,82.0,3308.21,25
151,Mrs Elaine Davies,"Embryologist, clinical",United States of America,26.0,5'7'',72.0,18302.0,61
152,Sandra Kennedy,Research scientist (maths),Seychelles,32.0,165,64.0,6946.3,59
153,Lesley Robinson,Research scientist (medical),Benin,32.0,188,82.0,6763.89,53
154,Alan Murphy,Mental health nurse,Pakistan,43.0,194,74.0,5803.87,39
155,Gerard Chamberlain,"Scientist, physiological",Montserrat,59.0,191,66.0,4396.36,37
156,Alex Hughes-Smith,"Geologist, engineering",Djibouti,30.0,188,82.0,6579.71,45
157,Leigh Burgess,Charity fundraiser,Martinique,68.0,163,96.0,2517.3,15
158,Mr Phillip Lloyd,Photographer,Saint Vincent and the Grenadines,49.0,180,51.0,3888.33,36
159,Dr Peter Bevan,Careers information officer,Saint Kitts and Nevis,56.0,154,63.0,7645.79,52
160,Mr Julian Browne,Planning and development surveyor,Thailand,66.0,184,89.0,6676.92,56
161,Brett Hill,Town planner,Vietnam,69.0,172,89.0,4329.3,35
162,Joel Stephens,Education administrator,Argentina,49.0,178,88.0,3397.83,28
163,Dr Stewart Sharp,Sports administrator,United States Minor Outlying Islands,21.0,192,55.0,6852.12,50
164,Allan Burke,Hospital doctor,Uruguay,47.0,160,55.0,3397.63,30
165,Francis Bartlett,IT sales professional,China,54.0,167,52.0,3372.32,24
166,Frank Power-Mitchell,"Civil engineer, contracting",Israel,40.0,196,56.0,5135.99,43
167,Dr Elliot Jones,Cartographer,Turkmenistan,56.0,161,57.0,4561.55,37
168,Valerie Williams,Land,Taiwan,62.0,158,91.0,3778.16,25
169,Gareth Henry-Goodwin,Hotel manager,Christmas Island,32.0,159,64.0,5710.9,46
170,Simon Khan,Information officer,Vietnam,60.0,193,96.0,3616.14,21
171,Lorraine Faulkner,Product designer,Uruguay,46.0,166,78.0,2257.33,20
172,Kenneth Collins-Miles,Toxicologist,Argentina,53.0,187,82.0,4441.3,32
173,Donald Sanderson,Physiological scientist,Taiwan,30.0,156,79.0,15342.42,44
174,Anna McCarthy,Dietitian,Indonesia,49.0,195,88.0,6130.36,49
175,Mr Gerard Palmer,"Producer, radio",Solomon Islands,24.0,162,76.0,22198.06,18
176,Stacey Burns,Make,Lithuania,68.0,189,85.0,5673.56,51
177,Dr Sara Morris,Product manager,Colombia,39.0,191,78.0,37918.75,27
178,Josh Bartlett,Archivist,Vietnam,45.0,158,87.0,4017.89,30
179,Jamie Sharpe,Manufacturing engineer,San Marino,19.0,199,82.0,2404.95,20
180,Stephen McCarthy,Volunteer coordinator,Tunisia,59.0,176,86.0,5605.21,42
181,Declan Roberts,"Presenter, broadcasting",Vanuatu,62.0,151,76.0,6075.05,50
182,Jake Gray-Bell,Haematologist,French Guiana,23.0,154,82.0,13422.25,28
183,Vincent Payne,Barista,Turkey,45.0,178,53.0,6247.08,42
184,Mrs Patricia Graham,Cabin crew,Argentina,45.0,186,71.0,12619.89,60
185,Kate Clayton,"Optician, dispensing",Algeria,61.0,187,51.0,3520.57,27
186,Janice Mills-Murphy,Medical physicist,French Southern Territories,61.0,168,59.0,14921.86,41
187,Dr Olivia Mitchell,Scientific laboratory technician,Montenegro,37.0,157,54.0,24083.05,40
188,Dr Malcolm Lee,"Designer, jewellery",Netherlands,47.0,197,59.0,1e+35,54
189,John Morris,Airline pilot,Botswana,28.0,194,82.0,2304.65,16
190,Melanie Wilson,Customer service manager,Vanuatu,45.0,150,87.0,17654.989999999998,24
191,Gail Thomas,Translator,Grenada,42.0,171,62.0,6325.39,46
192,Catherine Ryan,Primary school teacher,Finland,56.0,166,80.0,5507.62,46
193,Dorothy Wyatt,Animal nutritionist,Korea,50.0,156,96.0,2629.32,23
194,Jenna Davies,Computer games developer,Norway,18.0,174,85.0,14619.23,31
195,Raymond Hall,Broadcast engineer,Mayotte,44.0,194,94.0,22089.84,55
196,Sheila Thompson-Jenkins,Fashion designer,Malta,69.0,153,73.0,4110.73,37
197,Kevin Hobbs-O'Brien,Medical technical officer,Lithuania,30.0,185,64.0,3426.99,30
198,Michelle Whitehead-Murray,Medical illustrator,Tuvalu,58.0,155,78.0,6103.04,42
199,Declan Walker,Music therapist,Wallis and Futuna,20.0,180,57.0,5784.76,49
200,Dr Sandra Wallis,Tax adviser,Burkina Faso,56.0,168,54.0,5432.66,43
201,Terry Smith-Harrison,Amenity horticulturist,Thailand,23.0,193,78.0,5500.18,52
202,Amelia Foster-O'Neill,Trade union research officer,Madagascar,25.0,188,96.0,2936.72,21
203,Michael Ward,"Designer, exhibition/display",Lao People's Democratic Republic,44.0,176,53.0,3616.68,28
204,Miss Janet Lowe,"Production assistant, television",Faroe Islands,26.0,159,61.0,7196.34,55
205,Mrs Anna Fuller,Metallurgist,Congo,54.0,175,94.0,4720.76,37
206,Alexandra Hunt,Meteorologist,Sudan,50.0,168,51.0,6009.76,49
207,Bernard Goddard,"Producer, radio",Bouvet Island (Bouvetoya),68.0,188,76.0,7760.44,50
208,Ms Amber Arnold,Camera operator,Greenland,59.0,152,80.0,6799.4,59
209,Cheryl Mann-Powell,"Teacher, secondary school",Central African Republic,61.0,194,85.0,8393.56,60
210,Donald Williams,"Copywriter, advertising",Saint Martin,41.0,162,85.0,7735.65,50
211,Bryan Phillips-Barton,Senior tax professional/tax inspector,Kuwait,32.0,199,75.0,3587.36,32
212,Mr Bradley Wallace,Medical technical officer,Oman,49.0,177,92.0,2359.2599999999998,15
213,Kate Pearce,Occupational therapist,Equatorial Guinea,49.0,169,76.0,1764.3,16
214,Karl Holt,Interior and spatial designer,Saint Barthelemy,41.0,177,54.0,4414.49,41
215,Ben Clayton,Health promotion specialist,Colombia,58.0,157,69.0,17383.83,17
216,Stacey Roberts,Fisheries officer,American Samoa,69.0,190,60.0,1604.3799999999999,15
217,Miss Hilary Harrison,Clothing/textile technologist,Saint Pierre and Miquelon,66.0,188,59.0,16912.19,42
218,Ashleigh Boyle-Wells,Agricultural engineer,Guadeloupe,66.0,150,89.0,2154.16,15
219,Alice Atkinson,Electronics engineer,Somalia,69.0,152,87.0,4226.78,33
220,Ricky Reed,Restaurant manager,French Polynesia,29.0,162,55.0,4564.3,44
221,Frank Berry-Hughes,"Scientist, marine",Montenegro,56.0,177,57.0,6516.88,51
222,Mr Jordan Harris,Naval architect,Peru,19.0,198,72.0,3144.5299999999997,25
223,Ms Natasha Adams,"Surveyor, planning and development",Saudi Arabia,20.0,174,96.0,7204.68,57
224,Dr Julia Hill,Commercial/residential surveyor,Congo,66.0,182,75.0,6266.75,54
225,Miss Stacey Campbell,Garment/textile technologist,China,54.0,187,95.0,4103.56,35
226,Natasha Smith-O'Neill,Gaffer,New Zealand,66.0,155,92.0,4266.37,36
227,Sally Baldwin,Product designer,Togo,34.0,193,61.0,2306.24,15
228,Leigh Gallagher,"Engineer, site",Northern Mariana Islands,66.0,194,75.0,4379.96,33
229,Jodie White,Veterinary surgeon,Ukraine,19.0,181,62.0,5792.66,49
230,Marcus Anderson,Higher education lecturer,Iraq,19.0,194,89.0,17055.06,43
231,Alison Doyle,Recycling officer,Sweden,45.0,196,67.0,4627.26,35
232,Ms Kathleen Brown,"Engineer, communications",Japan,40.0,170,74.0,3875.78,28
233,Philip Robertson,Community education officer,Malaysia,54.0,165,82.0,4170.17,29
234,Julia Harris,Control and instrumentation engineer,Greece,49.0,170,96.0,2519.83,22
235,Frances Taylor,"Buyer, retail",Benin,,160,89.0,4853.38,40
236,Lee Wong,Production engineer,Iran,18.0,186,92.0,10671.47,45
237,Patrick Jones,Drilling engineer,Paraguay,36.0,185,61.0,6091.25,49
238,Ronald Gallagher,"Producer, television/film/video",Bhutan,19.0,184,93.0,8137.21,57
239,Hayley Singh,Chartered loss adjuster,Colombia,61.0,168,85.0,3791.98,31
240,Kevin Fuller,IT consultant,Burundi,43.0,169,97.0,3996.13,36
241,Dr Deborah Mellor,"Loss adjuster, chartered",Lesotho,49.0,167,53.0,2842.37,25
242,Richard Hayes,Bookseller,Gibraltar,23.0,196,54.0,5198.37,41
243,Dr Luke Turner,Statistician,Vietnam,49.0,190,86.0,4125.13,35
244,Ashleigh Miller,Special effects artist,Egypt,21.0,198,57.0,3171.09,21
245,Joel James,Horticultural therapist,Albania,28.0,163,91.0,2118.59,19
246,Amber Palmer,Hydrologist,Eritrea,34.0,164,98.0,4174.24,30
247,Kieran Taylor,"Designer, industrial/product",Hungary,55.0,180,77.0,4921.22,36
248,Miss Ruth Houghton,Ecologist,Dominica,41.0,150,80.0,5855.72,49
249,Adam May,Medical illustrator,Kiribati,22.0,152,58.0,5044.25,38
250,Aimee Kelly,Rural practice surveyor,Sao Tome and Principe,69.0,165,78.0,7068.52,54
251,Simon Fraser,Environmental manager,Ethiopia,51.0,172,63.0,5407.89,39
252,Julia Tucker,Community development worker,Zimbabwe,23.0,160,89.0,7270.91,57
253,Yvonne Price,"Engineer, control and instrumentation",Greenland,39.0,161,90.0,20780.64,59
254,Damian Harris,Corporate treasurer,Gabon,28.0,159,71.0,5298.18,37
255,Dawn Goddard,Fast food restaurant manager,Myanmar,65.0,181,60.0,3287.6,24
256,Julian Hammond-Barnes,"Research officer, political party",Saint Kitts and Nevis,33.0,165,72.0,5515.82,50
257,Aimee Wright-Roberts,Agricultural engineer,Montserrat,50.0,157,50.0,1922.5,15
258,Kirsty Clark,Media planner,Algeria,26.0,187,95.0,4911.04,38
259,Josephine Bray,"Surveyor, building",Eritrea,23.0,161,86.0,6939.65,54
260,Rachel Hammond-Thompson,"Teacher, primary school",Palau,33.0,173,70.0,2090.04,17
261,Hilary Morris-Pearce,"Merchandiser, retail",Guyana,46.0,177,75.0,5917.22,48
262,Beverley Harvey-Holmes,"Psychologist, sport and exercise",Puerto Rico,20.0,157,95.0,3950.44,33
263,Reece Hewitt-Knight,Structural engineer,Dominica,37.0,177,85.0,6071.15,47
264,Gerald Francis,"Conservation officer, nature",Bahamas,53.0,185,72.0,4316.62,32
265,Alexandra Hunter,Veterinary surgeon,Papua New Guinea,36.0,175,50.0,4054.25,31
266,Malcolm Payne,Chartered legal executive (England and Wales),British Indian Ocean Territory (Chagos Archipelago),43.0,157,89.0,6035.28,46
267,Hazel Lee,Brewing technologist,Lao People's Democratic Republic,20.0,199,64.0,3633.11,27
268,Billy Watson,Insurance broker,Gambia,36.0,177,70.0,4446.7300000000005,32
269,Dr Gerard Thomas,Occupational therapist,Cayman Islands,37.0,177,96.0,2796.78,19
270,Mr Damian Reynolds,Quality manager,Iraq,49.0,186,58.0,5856.1,41
271,Bradley Clayton,Secondary school teacher,Poland,24.0,190,58.0,7162.21,51
272,Charlie Thomson,Paediatric nurse,Macao,69.0,185,59.0,3794.51,32
273,Jordan Jones,Outdoor activities/education manager,Uzbekistan,58.0,176,75.0,6454.04,49
274,Miss Georgia Davies,"Teacher, special educational needs",Ukraine,50.0,166,90.0,6618.98,51
275,Mr Roger Ali,"Buyer, retail",Tuvalu,57.0,158,84.0,17610.51,16
276,Gareth Adams,Comptroller,Romania,56.0,182,74.0,3864.04,34
277,Mrs Carole Nicholson,Investment analyst,Sierra Leone,35.0,169,75.0,2054.7599999999998,16
278,Georgia Clark-Clements,"Buyer, retail",Georgia,57.0,162,60.0,5159.6,45
279,Mr Hugh Taylor,"Production assistant, television",Portugal,18.0,177,87.0,7354.86,54
280,Russell Holloway,"Psychologist, prison and probation services",British Indian Ocean Territory (Chagos Archipelago),28.0,197,51.0,12255.34,22
281,Jeremy Johnson,"Scientist, forensic",Northern Mariana Islands,45.0,178,56.0,5214.36,37
282,Terry Williams,Local government officer,United States Virgin Islands,42.0,5'6'',67.0,4184.13,37
283,Clare Phillips,"Conservation officer, historic buildings",Wallis and Futuna,67.0,195,76.0,13155.849999999999,19
284,Dawn Williams,Structural engineer,French Polynesia,40.0,184,83.0,3958.59,31
285,Norman O'Neill-Simpson,Theatre manager,Heard Island and McDonald Islands,48.0,155,76.0,2023.76,15
286,Trevor Ellis,"Education officer, environmental",Nicaragua,47.0,167,66.0,2221.57,17
287,Julia Brown-Miles,"Conservation officer, nature",Cyprus,59.0,154,92.0,6388.05,47
288,Amy Hall,Police officer,Cyprus,52.0,196,93.0,21140.72,36
289,Josephine Lee,Retail buyer,Burkina Faso,24.0,174,73.0,6358.93,57
290,Jacob Bond,Automotive engineer,Lesotho,33.0,151,74.0,6952.32,43
291,Lynne Lee-Robinson,Company secretary,Cape Verde,43.0,159,56.0,5134.39,40
292,Carole Fisher,"Scientist, marine",Korea,65.0,179,55.0,3616.59,27
293,Ms Abbie Buckley,"Designer, ceramics/pottery",San Marino,69.0,199,73.0,7670.77,58
294,Janet White,Industrial buyer,New Caledonia,66.0,194,82.0,3472.72,24
295,Dr Ronald McDonald,"Development worker, international aid",Holy See (Vatican City State),19.0,154,98.0,5579.86,41
296,Aaron Perry,"Designer, television/film set",Israel,18.0,182,78.0,34621.58,28
297,Leanne Smart-Jackson,IT trainer,Reunion,65.0,150,92.0,5161.48,43
298,Duncan Taylor,Equality and diversity officer,Mexico,29.0,167,71.0,4958.49,41
299,Max Jones,Logistics and distribution manager,United States Minor Outlying Islands,22.0,181,75.0,4070.24,29
300,Dr Carole Begum,"Scientist, physiological",Latvia,54.0,196,77.0,1289.31,15
301,Mr Damien Smith,Herpetologist,Saudi Arabia,49.0,198,99.0,6415.29,51
302,Ms Chelsea Thomas,Careers information officer,Mauritania,26.0,160,70.0,6415.929999999999,18
303,Frank Cole-Barker,Fitness centre manager,Spain,58.0,170,98.0,15643.7,20
304,Ms Mandy Arnold,"Engineer, chemical",Papua New Guinea,52.0,175,56.0,7563.85,58
305,Lynda Arnold,Structural engineer,Sweden,36.0,174,66.0,8548.48,58
306,Mrs Beverley Spencer,Haematologist,Cuba,65.0,171,69.0,2408.49,22
307,Thomas Wood,Comptroller,Serbia,33.0,176,90.0,2156.0,19
308,Ms Lisa Jones,Immunologist,Egypt,20.0,198,98.0,3284.88,26
309,Judith Johnson-Simmons,Volunteer coordinator,Pitcairn Islands,37.0,162,69.0,9048.22,55
310,Maria Davis,"Social research officer, government",Saudi Arabia,41.0,182,71.0,12389.9,25
311,Dr Sam Johnson,Chief Financial Officer,Nepal,50.0,183,77.0,8395.65,60
312,Dr Mathew Fowler,Retail buyer,Tunisia,41.0,190,89.0,2806.64,23
313,Elaine Yates,Dispensing optician,Solomon Islands,69.0,184,98.0,4422.1,31
314,Pauline Morris-Williams,"Therapist, drama",Belgium,28.0,150,56.0,6287.07,48
315,Ellie Campbell,Telecommunications researcher,Malta,66.0,170,50.0,6559.02,52
